Order ID,Order Date,Sales,Quantity,Discount,Discount Amount,Profit
CA-2016-152156,11/8/2016,261.96,2,0,0,41.9136
CA-2016-152156,11/8/2016,731.94,3,0,0,219.582
CA-2016-138688,6/12/2016,14.62,2,0,0,6.8714
US-2015-108966,10/11/2015,957.5775,5,0.45,2154.549375,-383.031
US-2015-108966,10/11/2015,22.368,2,0.2,8.9472,2.5164
CA-2014-115812,6/9/2014,48.86,7,0,0,14.1694
CA-2014-115812,6/9/2014,7.28,4,0,0,1.9656
CA-2014-115812,6/9/2014,907.152,6,0.2,1088.5824,90.7152
CA-2014-115812,6/9/2014,18.504,3,0.2,11.1024,5.7825
CA-2014-115812,6/9/2014,114.9,5,0,0,34.47
CA-2014-115812,6/9/2014,1706.184,9,0.2,3071.1312,85.3092
CA-2014-115812,6/9/2014,911.424,4,0.2,729.1392,68.3568
CA-2017-114412,4/15/2017,15.552,3,0.2,9.3312,5.4432
CA-2016-161389,12/5/2016,407.976,3,0.2,244.7856,132.5922
US-2015-118983,11/22/2015,68.81,5,0.8,275.24,-123.858
US-2015-118983,11/22/2015,2.544,3,0.8,6.1056,-3.816
CA-2014-105893,11/11/2014,665.88,6,0,0,13.3176
CA-2014-167164,5/13/2014,55.5,2,0,0,9.99
CA-2014-143336,8/27/2014,8.56,2,0,0,2.4824
CA-2014-143336,8/27/2014,213.48,3,0.2,128.088,16.011
CA-2014-143336,8/27/2014,22.72,4,0.2,18.176,7.384
CA-2016-137330,12/9/2016,19.46,7,0,0,5.0596
CA-2016-137330,12/9/2016,60.34,7,0,0,15.6884
US-2017-156909,7/16/2017,71.372,2,0.3,42.8232,-1.0196
CA-2015-106320,9/25/2015,1044.63,3,0,0,240.2649
CA-2016-121755,1/16/2016,11.648,2,0.2,4.6592,4.2224
CA-2016-121755,1/16/2016,90.57,3,0,0,11.7741
US-2015-150630,9/17/2015,3083.43,7,0.5,10792.005,-1665.0522
US-2015-150630,9/17/2015,9.618,2,0.7,13.4652,-7.0532
US-2015-150630,9/17/2015,124.2,3,0.2,74.52,15.525
US-2015-150630,9/17/2015,3.264,2,0.2,1.3056,1.1016
