Date,Price,Open,High,Low,Vol.,Change %
03/20/2023,"1,024.50","1,041.86","1,042.07","1,021.67",145.47K,-2.22%
03/17/2023,"1,047.71","1,053.48","1,055.20","1,043.28",181.68K,0.07%
03/16/2023,"1,046.99","1,056.81","1,059.61","1,039.89",149.06K,-1.63%
03/15/2023,"1,064.38","1,040.63","1,064.65","1,040.63",188.59K,2.61%
03/14/2023,"1,037.35","1,047.47","1,049.35","1,032.51",168.37K,-1.21%
03/13/2023,"1,050.07","1,042.60","1,053.64","1,041.25",194.88K,0.27%
03/10/2023,"1,047.20","1,044.51","1,049.45","1,039.59",128.92K,-0.29%
03/09/2023,"1,050.28","1,042.11","1,056.56","1,041.49",184.27K,0.93%
03/08/2023,"1,040.59","1,017.35","1,040.59","1,017.35",141.32K,1.31%
03/07/2023,"1,027.16","1,025.78","1,037.97","1,024.02",144.46K,1.27%
03/06/2023,"1,014.26","1,022.57","1,034.56","1,014.26",116.86K,0.09%
03/03/2023,"1,013.35","1,029.59","1,033.71","1,011.61",87.58K,-1.50%
03/02/2023,"1,028.73","1,032.84","1,037.73","1,025.13",89.26K,-0.55%
03/01/2023,"1,034.43","1,013.83","1,034.43","1,001.05",116.92K,1.92%
02/28/2023,"1,014.96","1,018.66","1,026.65","1,009.18",89.49K,0.35%
02/27/2023,"1,011.46","1,028.67","1,028.67","1,006.32",135.20K,-1.84%
02/24/2023,"1,030.42","1,048.22","1,048.27","1,027.16",95.83K,-1.95%
02/23/2023,"1,050.95","1,050.07","1,050.95","1,026.92",171.91K,-0.01%
02/22/2023,"1,051.08","1,078.98","1,078.98","1,051.08",185.39K,-2.76%
02/21/2023,"1,080.90","1,089.77","1,096.35","1,080.12",162.73K,-0.59%
02/20/2023,"1,087.36","1,052.38","1,087.36","1,052.36",190.18K,3.19%
02/17/2023,"1,053.72","1,055.29","1,057.59","1,047.13",121.13K,-0.15%
02/16/2023,"1,055.26","1,047.66","1,055.26","1,040.01",122.23K,1.14%
02/15/2023,"1,043.34","1,032.58","1,048.85","1,028.11",180.54K,0.81%
02/14/2023,"1,034.93","1,040.85","1,042.96","1,030.51",110.77K,-0.53%
02/13/2023,"1,040.40","1,044.49","1,045.60","1,024.98",156.78K,-0.80%
02/10/2023,"1,048.74","1,060.91","1,064.53","1,048.13",112.86K,-1.05%
02/09/2023,"1,059.91","1,070.32","1,076.48","1,059.91",137.75K,-1.25%
02/08/2023,"1,073.38","1,072.08","1,082.89","1,064.93",154.79K,0.36%
02/07/2023,"1,069.50","1,094.51","1,096.93","1,068.71",192.82K,-2.27%
02/06/2023,"1,094.37","1,078.72","1,094.45","1,073.44",144.68K,0.80%
02/03/2023,"1,085.70","1,094.14","1,095.87","1,081.05",184.37K,-0.71%
02/02/2023,"1,093.48","1,093.55","1,099.39","1,082.97",164.04K,0.50%
02/01/2023,"1,088.09","1,128.13","1,130.20","1,088.09",285.54K,-3.29%
01/31/2023,"1,125.07","1,112.60","1,125.07","1,098.65",197.90K,1.00%
01/30/2023,"1,113.95","1,132.45","1,132.97","1,113.95",199.04K,-1.48%
01/27/2023,"1,130.65","1,128.45","1,142.08","1,125.12",166.00K,0.78%
01/19/2023,"1,121.92","1,110.50","1,126.12","1,108.96",198.68K,0.56%
01/18/2023,"1,115.72","1,106.89","1,117.23","1,104.98",152.88K,1.09%
01/17/2023,"1,103.73","1,077.48","1,103.73","1,077.48",207.94K,2.60%
01/16/2023,"1,075.71","1,072.44","1,076.97","1,066.78",126.80K,0.55%
01/13/2023,"1,069.86","1,071.91","1,077.45","1,063.68",149.05K,0.34%
01/12/2023,"1,066.24","1,068.47","1,072.81","1,059.52",113.84K,0.10%
01/11/2023,"1,065.22","1,065.69","1,076.22","1,063.96",161.51K,0.44%
01/10/2023,"1,060.53","1,062.22","1,066.08","1,052.09",126.76K,-0.06%
01/09/2023,"1,061.14","1,065.24","1,068.77","1,056.64",126.31K,0.35%
01/06/2023,"1,057.40","1,060.14","1,075.33","1,053.29",192.69K,-0.42%
01/05/2023,"1,061.90","1,052.32","1,065.99","1,051.60",164.27K,1.12%
01/04/2023,"1,050.15","1,051.66","1,059.01","1,046.61",172.22K,0.28%
01/03/2023,"1,047.25","1,010.52","1,047.25","1,010.03",159.60K,4.18%
12/30/2022,"1,005.19","1,016.71","1,017.45","1,005.19",95.62K,-0.31%
12/29/2022,"1,008.30","1,013.95","1,022.15","1,008.30",121.03K,-0.56%
12/28/2022,"1,013.95","1,009.19","1,023.24",997.12,123.26K,0.65%
12/27/2022,"1,007.36",988.87,"1,015.01",985.67,153.66K,1.98%
12/26/2022,987.77,"1,032.42","1,033.17",987.77,175.23K,-4.48%
12/23/2022,"1,034.13","1,037.91","1,041.37","1,022.51",129.85K,-0.41%
12/22/2022,"1,038.34","1,033.72","1,048.84","1,031.29",188.50K,0.51%
12/21/2022,"1,033.10","1,041.05","1,041.65","1,011.90",212.81K,0.32%
12/20/2022,"1,029.79","1,048.17","1,049.39","1,015.66",283.48K,-1.95%
12/19/2022,"1,050.22","1,063.72","1,081.55","1,050.22",258.39K,-1.30%
12/16/2022,"1,064.07","1,061.58","1,077.27","1,058.88",249.61K,-0.38%
12/15/2022,"1,068.08","1,055.80","1,076.03","1,055.49",248.62K,1.13%
12/14/2022,"1,056.17","1,056.76","1,071.02","1,052.25",192.53K,-0.02%
12/13/2022,"1,056.43","1,038.63","1,056.43","1,028.37",241.92K,1.83%
12/12/2022,"1,037.42","1,071.27","1,073.44","1,037.42",219.92K,-2.60%
12/09/2022,"1,065.08","1,069.38","1,076.67","1,051.62",236.86K,0.22%
12/08/2022,"1,062.73","1,061.99","1,093.64","1,055.63",304.56K,1.45%
12/07/2022,"1,047.58","1,051.55","1,064.73","1,037.15",242.09K,-0.61%
12/06/2022,"1,054.06","1,109.50","1,109.50","1,054.06",405.65K,-5.12%
12/05/2022,"1,110.94","1,094.39","1,120.56","1,094.39",375.07K,1.64%
12/02/2022,"1,092.99","1,038.11","1,092.99","1,037.08",331.17K,4.83%
12/01/2022,"1,042.64","1,059.80","1,073.32","1,040.95",434.44K,-0.63%
11/30/2022,"1,049.21","1,034.78","1,049.21","1,018.59",264.70K,1.96%
11/29/2022,"1,029.04","1,007.58","1,029.04",995.12,366.39K,2.46%
11/28/2022,"1,004.34",974.42,"1,006.06",974.23,398.08K,3.81%
11/25/2022,967.49,948.66,967.49,947.56,170.89K,2.84%
11/24/2022,940.76,932.69,941.69,925.55,136.32K,0.22%
11/23/2022,938.73,939.08,951.86,933.26,154.60K,-0.72%
11/22/2022,945.54,956.31,985.18,941.85,368.68K,-1.19%
11/21/2022,956.89,970.64,972.15,951.62,132.09K,-1.47%
11/18/2022,971.20,967.82,977.19,941.18,264.09K,0.02%
11/17/2022,971.04,941.77,975.42,941.77,184.69K,3.27%
11/16/2022,940.29,878.24,942.56,863.31,249.95K,3.93%
11/15/2022,904.77,923.20,927.37,893.49,218.10K,-3.37%
11/14/2022,936.31,945.97,945.97,913.50,211.97K,-1.32%
11/11/2022,948.86,946.68,963.55,941.84,213.49K,1.29%
11/10/2022,936.80,969.79,969.79,925.02,252.59K,-4.38%
11/09/2022,979.68,980.92,993.28,969.19,166.48K,-0.04%
11/08/2022,980.09,957.88,981.51,950.81,185.77K,0.74%
11/07/2022,972.85,992.40,999.43,968.84,179.10K,-2.51%
